category,title,note,image_url
시그니처,청수사(기요미즈데라),교토 히가시야마 · 6:00~18:30(7·8월)·500엔 현금 · 산넨자카/니넨자카 함께,
시그니처,오사카성 천수각,오사카성공원 · 9:00~17:00·1200엔 · 8층 전망대 · 역서 도보 15~20분,
시그니처,도톤보리,난바 · 상시 · 글리코사인·에비스바시 야경,
지브리,도토리공화국 신사이바시점,PARCO 6F · 10:00~20:00 · 전국 최대(75평)·가오나시 포토존,
지브리,도토리공화국 루쿠아점,루쿠아 오사카 8F(JR오사카역) · 10:00~21:00 · 마녀배달부 빵집 포토존,
지브리,도토리공화국 니넨자카점,청수사 인근 · 10:30~18:30 · 와풍 외관·토토로,
지브리,도토리공화국 난바점,난바워크 지하상가 · 출국일 막판 굿즈,
사케,아사노 사케샵(浅野日本酒店 UMEDA),太融寺町 2-17 · 11:00~23:00 무휴 · 준마이슈 약 150종 무료시음·스탠딩바 · 키키자케 세트 평일 18시 전 840엔,
마트,이온 푸드스타일 히가시신사이바시,東心斎橋 1-5-9 · 24시간 · 숙소 도보 6분 · 초밥·벤토·과일·주류·저녁할인,
축제,기온 야마보코 후기순행,7/24 카라스마오이케~시조 · 9:30~11:20 · 유료석 8000엔~,
축제,텐진 후나토교·불꽃,7/25 오카와 · 후나토교 18:00~/불꽃 19:30~21:00 · 명당 남안(텐만바시側),
교통,라피트,난바↔KIX · 30분 간격·편도 1560엔 · 모바일 -150엔·슈퍼시트 무료업글,
교통,ICOCA,전 구간 · 지하철·한큐·JR 충전식,
교통,한큐 교토선,오사카우메다↔교토카와라마치 · 특급 43분·약 410엔,
